     Time	  Accel	     IntAccel	     SG1	   SG2	      SG3	       
    9.499000    -2.690823    23.729144    -5.543340   -11.615077   2.55271653 
    9.500000    -4.583333    40.283044     2.274360    -6.301077   2.23971653 
    9.501000    -4.583333    43.961744    11.968160     4.639923   1.61371653 
    9.502000     0.147927    31.086444    12.906360     5.577723  -2.14208347 
    9.503000    -4.583333    18.211164     3.525160     2.764423  -3.70698347 
    9.504000     0.147927    14.532515    -5.230640    -3.487077  -3.70698347 
    9.505000    -4.583333    18.211164    -4.917940    -8.802077   3.49171653 
    9.506000    -3.637083    23.729144    -4.917940     0.576223   7.87351653 
    9.507000    -2.690823    27.407844    -3.354440    12.142223   5.99561653 
    9.508000    -8.368383    34.765144    -1.790840    14.330423   4.43061653 
    9.509000    -2.690823    43.961744     4.463260    -0.674177   3.49171653 
    9.510000     2.986688    40.283044     2.899760    -5.363077   1.30081653 
    9.511000     3.932941    45.801044    -3.354440    -0.674177   3.17871653 
    9.512000     3.932941    38.443744     1.961560     2.764423   6.93451653 
    9.513000     0.147927    32.925744    13.219060     5.890323   0.04881653 
    9.514000    -4.583333    31.086444    11.342760     5.890323  -6.52388347 
    9.515000    -8.368383    32.925744     4.463260     4.639923 -12.15768347 
    9.516000    -0.798323    31.086444     4.150560     4.639923 -12.78368347 
    9.517000     4.879197    40.283044     6.652160     7.765923  -3.08108347 
    9.518000     2.986688    38.443744     7.590360    14.017823   6.93451653 
    9.519000     1.094187    32.925744    -0.540040    18.081623  14.75921653 
    9.520000    -0.798323    31.086444    -5.543340    15.580823   8.49951653 
    9.521000     3.932941    43.961744    -2.728940     7.453323   0.67481653 
    9.522000     6.771697    45.801044     5.401360     1.514023   0.67481653 
    9.523000     8.664207    45.801044     6.964860     3.702123  -6.21088347 
    9.524000     5.825447    42.122444     5.088660     6.828123 -10.27978347 
    9.525000     7.717947    36.604444     6.026760     4.639923  -8.40178347 
    9.526000    11.502957    34.765144    11.342760    -0.674177  -7.77588347 
    9.527000     7.717947    38.443744     6.026760     4.639923  -4.64598347 
    9.528000     0.147927    40.283044     3.212460     9.641523   6.30851653 
    9.529000     4.879197    38.443744    -1.478140     9.016323  17.57611653 
    9.530000     8.664207    43.961744    -2.416240     1.826623  15.69821653 
    9.531000    10.556707    43.961744     2.274360    -9.114077   9.12541653 
    9.532000     7.717947    43.961744     3.525160   -12.553077  -1.82908347 
    9.533000    -0.798323    47.640344    -0.540040    -8.489077  -8.71478347 
    9.534000    -5.529583    43.961744    -4.917940    -3.175077  -9.65378347 
    9.535000    -3.637083    43.961744    -3.041740    -0.674177  -4.33298347 
    9.536000     2.986688    40.283044    -1.478140     2.451823   3.80471653 
    9.537000     8.664207    31.086444     1.648860    10.266723   9.12541653 
    9.538000     7.717947    42.122444     1.648860    13.705223   5.68261653 
    9.539000    -8.368383    51.319044     6.026760     4.639923   0.67481653 
    9.540000   -11.207083    54.997744     9.153860   -11.302077  -4.33298347 
    9.541000    -1.744573    51.319044     7.903060   -13.803077  -8.71478347 
    9.542000     1.094187    34.765144     0.398060    -3.487077  -4.95898347 
    9.543000     1.094187    25.568444    -5.856040    10.266723   0.04881653 
    9.544000     2.040437    31.086444    -8.045040    13.705223   2.55271653 
    9.545000    -3.637083    36.604444    -1.478140     5.265123  -0.57718347 
    9.546000    -6.475843    36.604444     6.964860    -9.427077   1.30081653 
    9.547000    -8.368383    27.407844    15.095260    -9.427077   9.75141653 
    9.548000    -4.583333    23.729144    10.091960    -2.550077  15.69821653 
    9.549000    -6.475843    31.086444     5.088660    -1.612077  10.06441653 
    9.550000    -9.314583    36.604444    -1.165440    -7.864077   1.61371653 
    9.551000    -3.637083    36.604444    -3.041740    -6.613077   2.86571653 
    9.552000     5.825447    29.247144     2.899760    -7.239077   6.30851653 
    9.553000     8.664207    16.371844    11.968160     0.263623   4.11761653 
    9.554000     2.040437    18.211164    13.844460     4.014723  -7.77588347 
    9.555000     2.986688    23.729144     5.401360     2.139223 -15.28748347 
    9.556000     2.040437    40.283044    -2.728940    -1.299377  -9.65378347 
    9.557000    -4.583333    51.319044     0.710760    -4.425077   4.43061653 
    9.558000    -1.744573    54.997744    13.844460    -5.988077  15.69821653 
    9.559000     3.932941    38.443744    17.909660    -5.363077  19.45401653 
    9.560000     4.879197    29.247144     7.590360    -2.237077  15.07221653 
    9.561000     0.147927    29.247144     3.837860    -2.862077  10.06441653 
    9.562000    -6.475843    36.604444     8.528460    -4.113077   6.93451653 
    9.563000   -10.260883    42.122444    14.782560    -2.550077   5.99561653 
    9.564000    -8.368383    40.283044    13.844460     4.639923   4.74361653 
    9.565000    -0.798323    25.568444     7.277660    15.893423   3.17871653 
    9.566000     0.147927    21.889824     3.837860    13.705223   2.23971653 
    9.567000    -0.798323    25.568444     5.714060     4.639923  -2.45508347 
    9.568000    -4.583333    34.765144     3.212460    -7.864077   3.80471653 
    9.569000    -9.314583    34.765144    -4.917940   -13.491077   6.62151653 
    9.570000    -4.583333    27.407844    -7.419540    -8.176077   6.30851653 
    9.571000     1.094187    25.568444    -8.983140    -5.988077   4.43061653 
    9.572000     0.147927    25.568444     1.961560    -4.738077   0.04881653 
    9.573000    -3.637083    31.086444    10.404660     1.826623  -1.82908347 
    9.574000    -6.475843    32.925744    11.342760     7.765923  -1.82908347 
    9.575000    -2.690823    43.961744    -0.540040     8.078523   1.92671653 
    9.576000    -1.744573    42.122444    -9.921240     6.202923  10.06441653 
    9.577000    -0.798323    36.604444    -9.921240     0.576223  18.82801653 
    9.578000    -0.798323    38.443744    -0.540040    -0.986777  11.94231653 
    9.579000     2.040437    36.604444     6.652160     4.952523  -4.33298347 
    9.580000     6.771697    32.925744     7.903060    10.266723 -15.60048347 
    9.581000     8.664207    20.050494     7.903060    11.204523 -11.53168347 
    9.582000     8.664207    16.371844     2.274360     8.703723  -1.82908347 
    9.583000     6.771697    21.889824    -2.416240     5.265123   0.36181653 
    9.584000     3.932941    31.086444     5.714060     3.076923  -8.40178347 
    9.585000    -6.475843    32.925744    12.906360     2.451823 -15.28748347 
    9.586000    -9.314583    31.086444    11.342760     7.765923  -8.40178347 
    9.587000    -2.690823    32.925744     9.779260     7.140723   6.62151653 
    9.588000     4.879197    34.765144    12.906360     0.263623  16.95011653 
    9.589000     8.664207    25.568444    14.782560    -0.674177  19.14101653 
    9.590000     2.986688    21.889824    13.531760     6.828123  14.44621653 
    9.591000     2.986688    16.371844     3.837860    11.829723   7.56051653 
    9.592000     0.147927    20.050494     2.274360     1.514023  -0.26418347 
    9.593000    -2.690823    29.247144    -0.540040    -5.363077  -4.95898347 
    9.594000     2.986688    25.568444    -3.667140    -2.862077  -1.82908347 
    9.595000     5.825447    31.086444     2.587060     0.888823  -2.45508347 
    9.596000    10.556707    31.086444    14.469860     4.014723   0.98781653 
    9.597000    10.556707    32.925744    11.968160     9.328923   3.17871653 
    9.598000     6.771697    38.443744    -2.103540    16.518623   1.92671653 
    9.599000     4.879197    36.604444    -8.670440    14.955623  -1.82908347 
    9.600000     2.986688    36.604444    -3.979840     8.703723  -1.20308347 
    9.601000    -3.637083    23.729144    -1.165440    -1.299377   3.17871653 
    9.602000    -8.368383    16.371844    -1.165440    -7.239077   9.43841653 
    9.603000    -2.690823    20.050494    -7.419540    -5.988077   9.12541653 
    9.604000     8.664207    16.371844   -10.233940    -1.299377   7.24751653 
    9.605000    17.180517    18.211164   -13.048340    14.017823   3.17871653 
    9.606000    13.395517    20.050494   -19.927840    19.644623   0.36181653 
    9.607000     4.879197    25.568444   -16.800740    14.643023   0.36181653 
    9.608000    -2.690823    23.729144   -12.110140     7.140723   0.98781653 
    9.609000    -2.690823    31.086444    -7.419540    -4.425077  -2.14208347 
    9.610000     5.825447    31.086444     0.398060   -10.052077   3.49171653 
    9.611000     6.771697    40.283044     7.903060    -2.550077   5.68261653 
    9.612000     7.717947    36.604444    12.593660    11.517123   4.74361653 
    9.613000     1.094187    40.283044    10.091960     6.515523   5.68261653 
    9.614000     1.094187    43.961744     6.339460     7.453323   7.56051653 
    9.615000    -3.637083    38.443744     0.085360    11.517123  14.44621653 
    9.616000     5.825447    36.604444    -1.478140    11.517123  22.58391653 
    9.617000    10.556707    34.765144    -1.478140     3.076923  15.69821653 
    9.618000     6.771697    34.765144     1.336160    -1.299377   5.05661653 
    9.619000     4.879197    31.086444    -1.478140    -2.550077   9.12541653 
    9.620000     5.825447    25.568444    -5.856040    -3.800077  11.94231653 
    9.621000     6.771697    34.765144    -3.667140     0.263623   4.43061653 
    9.622000     4.879197    40.283044     1.023460     8.391123   8.81241653 
    9.623000     5.825447    42.122444     8.215760    12.454823  16.32411653 
    9.624000     2.040437    29.247144    10.717360     7.453323  16.95011653 
    9.625000     2.986688    25.568444     2.899760    -0.986777   8.49951653 
    9.626000    -1.744573    40.283044    -2.416240    -5.988077   1.30081653 
    9.627000     2.040437    45.801044    -6.794140    -7.551077  -5.27198347 
    9.628000     6.771697    43.961744   -15.549940    -4.425077  -9.02778347 
    9.629000    12.449217    42.122444   -17.738840    -4.425077 -10.90568347 
    9.630000    16.234217    34.765144    -3.667140    -4.425077  -6.83688347 
    9.631000    13.395517    34.765144     4.463260    -2.862077   2.55271653 
    9.632000    12.449217    36.604444    -0.540040     1.826623   1.61371653 
    9.633000    10.556707    42.122444    -1.165440     4.639923  -2.14208347 
    9.634000    12.449217    38.443744     4.463260     4.327323  -2.45508347 
    9.635000    11.502957    32.925744     1.648860     6.202923  -4.95898347 
    9.636000     6.771697    27.407844    -5.543340     5.577723  -2.76808347 
    9.637000    -5.529583    23.729144   -12.110140     9.954123   1.92671653 
    9.638000    -7.422083    38.443744    -6.481440     7.140723   3.49171653 
    9.639000     7.717947    51.319044    -5.543340     2.451823   3.80471653 
    9.640000    19.073017    49.479744   -12.110140    -3.487077  -0.26418347 
    9.641000    25.696717    45.801044    -7.419540     3.076923  -1.51608347 
    9.642000    20.965517    47.640344     1.023460     8.703723  -3.08108347 
    9.643000    16.234217    45.801044     3.837860     6.202923 -12.15768347 
    9.644000     5.825447    38.443744     1.648860     0.888823 -16.22648347 
    9.645000    11.502957    31.086444    -4.292540    -4.738077  -5.89788347 
    9.646000    10.556707    27.407844    -7.106840    -5.363077   4.11761653 
    9.647000    11.502957    23.729144    -6.794140     3.389523   8.49951653 
    9.648000    16.234217    29.247144    -1.478140     7.765923  10.37741653 
    9.649000    21.911717    31.086444    -0.540040     3.076923   6.62151653 
    9.650000    22.858017    34.765144    -0.540040    -6.926077  10.06441653 
    9.651000    17.180517    29.247144     7.277660   -13.178077  10.69041653 
    9.652000    14.341717    34.765144     7.590360    -3.175077  -1.82908347 
    9.653000     7.717947    42.122444     2.899760     3.076923  -6.83688347 
    9.654000    -0.798323    36.604444     1.961560     2.451823  -0.26418347 
    9.655000    -0.798323    31.086444     0.710760     2.139223   9.43841653 
    9.656000     2.986688    40.283044    -4.917940     5.265123  10.06441653 
    9.657000     3.932941    32.925744    -5.856040     5.890323   6.93451653 
    9.658000    10.556707    34.765144    -5.543340     4.014723   0.04881653 
    9.659000    13.395517    34.765144    -3.041740     1.201423  -4.33298347 
    9.660000    11.502957    31.086444    -0.540040    -1.612077  -3.39398347 
    9.661000    10.556707    27.407844     4.150560     2.451823   2.86571653 
    9.662000    17.180517    27.407844     5.088660     8.703723  14.75921653 
    9.663000    20.019217    31.086444    -1.478140    14.955623  18.82801653 
    9.664000    19.073017    25.568444    -9.921240    13.392623  11.94231653 
    9.665000    20.019217    29.247144    -8.670440     9.954123   8.18651653 
    9.666000    21.911717    25.568444    -3.041740     8.703723  10.06441653 
    9.667000    21.911717    27.407844    -0.540040     9.641523  12.88131653 
    9.668000    14.341717    29.247144     1.648860     4.639923   7.24751653 
    9.669000    11.502957    43.961744     0.710760     0.888823   1.92671653 
    9.670000    17.180517    43.961744     2.899760     4.014723   3.80471653 
    9.671000    25.696717    45.801044     8.841160     0.888823   4.11761653 
    9.672000    29.481717    34.765144     9.466560     3.389523   6.93451653 
    9.673000    23.804217    18.211164     1.336160     0.888823   9.12541653 
    9.674000    16.234217    12.693184    -7.419540    -5.988077  12.88131653 
    9.675000    15.288017    12.693184   -10.546640    -1.924077  11.31631653 
    9.676000    28.535517    23.729144    -5.543340     8.078523  -0.57718347 
    9.677000    36.105517    31.086444     3.212460    10.891923  -3.39398347 
    9.678000    39.890517    27.407844     7.277660     7.765923   2.55271653 
    9.679000    37.051817    21.889824    -1.478140     8.078523  11.62931653 
    9.680000    38.944317    10.853864    -9.921240     8.703723   9.43841653 
    9.681000    33.266817    14.532515    -9.608540     0.576223   4.74361653 
    9.682000    30.428017    27.407844     3.212460    -2.550077  -0.26418347 
    9.683000    29.481717    31.086444     5.088660    -2.237077  -4.01998347 
    9.684000    26.643017    25.568444    -3.354440     1.826623  -1.51608347 
    9.685000    27.589217    25.568444    -7.732240     5.577723   8.81241653 
    9.686000    34.213017    31.086444    -6.794140     9.954123  12.25531653 
    9.687000    37.051817    29.247144    -7.732240     6.515523   5.05661653 
    9.688000    33.266817    20.050494   -12.110140    -0.048977  -2.14208347 
    9.689000    24.750517    14.532515   -10.546640    -0.361577  -4.64598347 
    9.690000    30.428017    20.050494    -6.168740     6.202923   1.92671653 
    9.691000    32.320517    32.925744    -0.852740     6.202923  11.31631653 
    9.692000    32.320517    34.765144    -2.103540     2.764423  13.82021653 
    9.693000    28.535517    25.568444    -6.794140     0.263623  13.82021653 
    9.694000    33.266817    25.568444   -10.546640    -2.550077  14.75921653 
    9.695000    38.944317    20.050494    -6.794140    -4.738077   9.12541653 
    9.696000    35.159317    20.050494     6.964860    -5.363077  -1.51608347 
    9.697000    36.105517    21.889824    15.095260    -4.738077 -10.90568347 
    9.698000    38.944317    18.211164    13.219060    -2.237077  -7.14988347 
    9.699000    38.944317    20.050494     6.964860     4.327323  -1.51608347 
    9.700000    35.159317    27.407844     6.026760     9.641523   4.11761653 
    9.701000    34.213017    27.407844    10.091960    12.142223  -2.14208347 
    9.702000    38.944317    27.407844    10.404660    13.705223 -13.09658347 
    9.703000    52.191817    36.604444    12.906360    13.705223 -12.15768347 
    9.704000    51.245617    27.407844    12.906360    10.891923  -8.71478347 
    9.705000    47.460517    29.247144     6.964860    -3.175077  -2.76808347 
    9.706000    50.299317    21.889824    10.091960    -5.050077   2.55271653 
    9.707000    51.245617    21.889824     6.652160    -3.487077  11.00341653 
