     Time	  Accel	     IntAccel	     SG1	   SG2	      SG3	       
    9.499000    12.062190    66.181723     8.139197    23.234286   6.84792583 
    9.500000    19.632190    68.021723     2.510197     8.542286   5.59602583 
    9.501000    17.739690    75.378723     0.946197    -6.149714  10.91672583 
    9.502000    11.115990    77.217723     6.262197     1.977286  10.60382583 
    9.503000     5.438430    77.217723     7.826197    11.355286   8.41292583 
    9.504000     6.384680    69.860723     3.135197    11.980286   4.97002583 
    9.505000    10.169690    64.342723    -3.118803    10.105286   6.53492583 
    9.506000     6.384680    62.503723    -1.867803    13.856286  -2.22867417 
    9.507000     1.653420    66.181723    -0.303803    13.231286 -12.24427417 
    9.508000     1.653420    71.699723     0.008197    -4.586714 -11.30527417 
    9.509000     8.277190    77.217723    -1.554803   -13.339714   0.58822583 
    9.510000    12.062190    75.378723     5.012197    -8.025714   2.77912583 
    9.511000     7.330930    66.181723    11.578197     3.228286 -10.67927417 
    9.512000     3.545920    60.663723     8.764197    16.044286 -20.38187417 
    9.513000     4.492180    66.181723     0.008197    19.170286 -15.68707417 
    9.514000    14.900990    62.503723    -5.619803    13.231286  -5.67157417 
    9.515000    15.847190    56.985423    -4.994803     3.540286   5.28302583 
    9.516000    19.632190    60.663723    -6.245803     0.414286  11.54272583 
    9.517000    14.900990    58.824723    -3.118803     5.416286   6.84792583 
    9.518000    14.900990    62.503723    -1.867803    12.606286  -0.97677417 
    9.519000    15.847190    62.503723    -4.994803     5.728286  -1.91567417 
    9.520000    17.739690    47.788723    -7.496803    -7.400714  -2.54167417 
    9.521000    10.169690    44.110123   -11.561803    -8.650714  -1.28967417 
    9.522000     6.384680    51.467423   -14.688803     1.665286   2.77912583 
    9.523000     7.330930    45.949423   -13.124803     6.666286   2.15312583 
    9.524000    11.115990    38.592123    -6.245803    -1.773714   5.28302583 
    9.525000    17.739690    40.431423     6.262197    -9.588714  10.29082583 
    9.526000    19.632190    44.110123     9.077197    -9.900714  12.79472583 
    9.527000    15.847190    53.306723     2.197197    -8.963714   2.15312583 
    9.528000    13.008490    55.146023    -3.430803    -1.460714  -3.79357417 
    9.529000    12.062190    60.663723   -10.623803    16.044286  -1.91567417 
    9.530000    17.739690    66.181723   -12.499803    21.983286   1.21422583 
    9.531000    18.685990    60.663723    -3.118803    17.295286   6.22192583 
    9.532000    16.793490    55.146023     7.513197     8.854286  10.60382583 
    9.533000    13.008490    55.146023     9.077197    -1.773714  11.22972583 
    9.534000     9.223490    56.985423     7.201197   -10.838714   6.22192583 
    9.535000     6.384680    56.985423     5.637197    -7.712714  -2.22867417 
    9.536000    10.169690    64.342723     8.451197     6.666286  -2.22867417 
    9.537000    12.062190    68.021723     3.761197     8.854286   1.21422583 
    9.538000    22.470990    62.503723    -5.619803     6.666286   1.84012583 
    9.539000    25.309690    60.663723   -11.874803     7.291286  -0.66377417 
    9.540000    17.739690    58.824723    -9.372803     0.414286  -2.85467417 
    9.541000    12.062190    60.663723    -3.430803    -1.148714  -1.28967417 
    9.542000    14.900990    60.663723    -1.867803     5.103286   4.03102583 
    9.543000    15.847190    51.467423     2.823197     9.167286  11.54272583 
    9.544000    16.793490    55.146023     6.888197    13.231286  14.04662583 
    9.545000    21.524690    62.503723     5.637197     5.728286   9.66482583 
    9.546000    22.470990    66.181723    -2.492803    -1.148714   7.78692583 
    9.547000    24.363490    64.342723    -4.369803     0.414286   8.41292583 
    9.548000    22.470990    58.824723    -1.554803     8.542286   7.78692583 
    9.549000    19.632190    53.306723    -3.118803    10.730286   6.53492583 
    9.550000    17.739690    47.788723    -3.430803     8.854286   7.78692583 
    9.551000    23.417190    49.628123    -8.746803     3.540286   6.53492583 
    9.552000    20.578490    40.431423   -11.874803    -1.148714   0.58822583 
    9.553000    16.793490    42.270823    -4.994803     0.102286  -8.80137417 
    9.554000    11.115990    45.949423     8.764197     8.229286 -10.67927417 
    9.555000    13.008490    49.628123    12.517197    13.543286  -5.04557417 
    9.556000    13.954690    51.467423     2.823197    11.043286   8.09992583 
    9.557000    13.954690    56.985423    -6.245803     3.540286   6.84792583 
    9.558000    15.847190    56.985423    -3.743803    10.105286   3.40512583 
    9.559000    26.255990    49.628123     1.572197     9.167286  -1.91567417 
    9.560000    31.933490    47.788723     0.008197    11.355286 -10.36637417 
    9.561000    31.933490    36.752823     0.946197    12.606286  -9.11437417 
    9.562000    24.363490    40.431423     1.885197    15.106286  -1.91567417 
    9.563000    12.062190    56.985423     0.634197    13.231286   9.97782583 
    9.564000    15.847190    68.021723    -6.245803    12.606286  15.29862583 
    9.565000    24.363490    68.021723    -4.056803    15.732286   7.16092583 
    9.566000    17.739690    58.824723     0.008197    15.106286  -2.22867417 
    9.567000    12.062190    53.306723    -1.554803    11.980286  -5.04557417 
    9.568000    12.062190    53.306723     0.946197    16.044286  -5.35857417 
    9.569000    19.632190    47.788723     3.135197    15.732286  -4.41957417 
    9.570000    25.309690    42.270823     3.135197     9.480286   3.09212583 
    9.571000    24.363490    34.913523    -8.434803     3.540286   8.72582583 
    9.572000    21.524690    40.431423   -12.812803     2.915286   5.59602583 
    9.573000    19.632190    40.431423    -7.496803     6.979286   1.21422583 
    9.574000    19.632190    36.752823     2.823197    11.668286   0.27522583 
    9.575000    28.148490    38.592123     0.321197     9.792286   2.77912583 
    9.576000    31.933490    38.592123    -5.932803     5.416286   5.90902583 
    9.577000    32.879790    44.110123    -4.681803     1.977286   8.09992583 
    9.578000    29.094790    47.788723     7.826197    -0.522714   4.03102583 
    9.579000    26.255990    40.431423    12.829197     0.102286  -4.10657417 
    9.580000    34.772290    33.074123    11.578197    -0.522714 -12.55727417 
