     Time	  Accel	     IntAccel	     SG1	   SG2	      SG3	       
    9.499000    -5.993849     8.744151    -3.763297     4.764554   2.09874377 
    9.500000     2.522391    14.262131    -0.010797     7.577554  -1.03105623 
    9.501000     6.307411    23.458731    -5.952297    -0.550446  -6.35185623 
    9.502000     3.468651    25.298131   -11.268297    -8.677446  -5.72585623 
    9.503000    -1.262649    23.458731   -17.835097    -6.802446  -2.59605623 
    9.504000    -6.940149    16.101431   -25.340097    10.703554  -5.09995623 
    9.505000    -8.832649     8.744151   -24.089097    17.580554  -3.53495623 
    9.506000    -0.316349    12.422811   -17.522097    13.204554  -6.03885623 
    9.507000    -3.155149    14.262131    -0.948997     4.138554  -5.41285623 
    9.508000    -0.316349    17.940831    -2.199797     5.389554  -7.91675623 
    9.509000    -0.316349    23.458731   -12.832097     7.889554  -6.97785623 
    9.510000    -3.155149    19.780131   -13.770097    16.017554  -8.85575623 
    9.511000    -5.047649    14.262131   -16.584097    10.703554  -7.91675623 
    9.512000     3.468651    19.780131   -15.333097    -1.175446  -0.71805623 
    9.513000     3.468651    16.101431    -8.453897    -6.176446  -3.84795623 
    9.514000    -4.101349    14.262131    -4.388697    -0.550446  -6.35185623 
    9.515000    -9.778849    14.262131    -4.701397    10.703554  -3.53495623 
    9.516000    -6.940149    16.101431    -6.890397    12.266554  -2.59605623 
    9.517000    -1.262649    14.262131    -7.515797     5.389554  -3.22195623 
    9.518000     2.522391    23.458731    -8.766597    10.390554  -4.16095623 
    9.519000     4.414901    28.976731   -12.519097    21.644554  -1.03105623 
    9.520000    11.038671    25.298131   -10.642897    19.768554   0.53384377 
    9.521000     8.199911    17.940831   -11.268297    14.454554   0.22084377 
    9.522000     8.199911    12.422811    -9.079297    11.015554  -1.97005623 
    9.523000     8.199911    12.422811    -7.828497     3.201554   2.41174377 
    9.524000     5.361151    19.780131    -0.323597    -3.988446   8.04554377 
    9.525000    -0.316349    25.298131     2.490803    -3.363446   5.22864377 
    9.526000    -2.208849    32.655431     8.744903    -1.175446  -0.40515623 
    9.527000    -1.262649    30.816031    11.246603     0.700554  -1.65705623 
    9.528000     4.414901    25.298131    -2.512497    -0.550446  12.42734377 
    9.529000     6.307411    19.780131   -18.773097    -0.550446  20.56504377 
    9.530000     6.307411    17.940831   -18.460097    -0.237446  19.93904377 
    9.531000     7.253661    19.780131    -8.141197     9.452554  13.67934377 
    9.532000    17.662441    16.101431     2.803503    16.955554   9.92344377 
    9.533000    15.769931     6.904831     1.552703    19.143554   6.16764377 
    9.534000     7.253661     5.065502   -13.457097     8.827554   4.28964377 
    9.535000     5.361151    10.583481   -12.206097    -2.738446  14.93124377 
    9.536000     2.522391    16.101431     4.054303     6.327554  23.06894377 
    9.537000    -1.262649    10.583481    11.559303    16.017554  12.42734377 
    9.538000    -3.155149    17.940831     2.490803    12.578554   1.78584377 
    9.539000    -5.047649    28.976731    -5.952297     2.263554   4.60264377 
    9.540000     6.307411    36.334031    -5.014097     5.076554  16.18314377 
    9.541000    15.769931    34.494731    -1.887097    10.078554  17.12214377 
    9.542000    14.823681    27.137431    -4.075997     2.888554  19.31304377 
    9.543000     8.199911    25.298131    -2.825197     4.764554  13.05334377 
    9.544000     1.576151    30.816031     1.240003    14.767554   8.98454377 
    9.545000    -5.993849    28.976731     6.868703    19.143554   9.61044377 
    9.546000   -12.617649    27.137431    13.122803     9.140554   1.47284377 
    9.547000    -9.778849    25.298131    11.246603    -1.800446  -4.47395623 
    9.548000    -1.262649    14.262131     4.992503    -7.427446  -3.84795623 
    9.549000     7.253661     5.065502     7.181403   -10.240446  -0.40515623 
    9.550000     8.199911    -0.452479     4.679803    -7.739446   7.10654377 
    9.551000     2.522391    -5.970469     1.240003    -6.489446   9.92344377 
    9.552000    -4.101349   -11.488469     2.490803    -1.800446  -1.97005623 
    9.553000    -4.101349    -2.291799     1.240003     3.513554  -6.35185623 
    9.554000    -0.316349     8.744151    -1.261697     2.575554   1.78584377 
    9.555000     8.199911    23.458731     8.119503    -2.425446  14.93124377 
    9.556000     3.468651    21.619431     9.057603    -6.176446  21.50394377 
    9.557000    -1.262649    17.940831    -1.261697    -1.487446  25.88574377 
    9.558000    -2.208849    34.494731    -8.141197    -1.800446  21.81694377 
    9.559000    -1.262649    30.816031    -3.763297    -2.425446   8.98454377 
    9.560000     5.361151    21.619431    -1.261697    -4.613446   2.41174377 
    9.561000     2.522391    21.619431     0.927303    -3.676446   6.48064377 
    9.562000     0.629851    23.458731    -0.636297     0.075554   8.35854377 
    9.563000    -0.316349    25.298131    -6.264997     7.889554  11.48834377 
    9.564000     5.361151    25.298131    -8.766597    11.328554  13.67934377 
    9.565000     5.361151    23.458731     1.865403    10.390554  10.86244377 
    9.566000    -0.316349    28.976731    14.999103    -1.487446   8.98454377 
    9.567000    -5.993849    32.655431    22.504003    -6.489446  17.12214377 
    9.568000    -5.047649    27.137431    18.751503    -5.864446  20.56504377 
    9.569000     3.468651    28.976731    10.308503     0.075554  10.54944377 
    9.570000    11.984922    28.976731    -0.948997     8.515554   7.73254377 
    9.571000     6.307411    23.458731     0.614603     1.638554   4.60264377 
    9.572000    -0.316349    23.458731     8.119503   -13.366446   0.53384377 
    9.573000     1.576151    28.976731    15.937203   -18.055446   1.15984377 
    9.574000     4.414901    30.816031    23.129403    -8.052446   2.09874377 
    9.575000    -1.262649    21.619431    19.064203     6.327554   1.15984377 
    9.576000    -1.262649    23.458731     9.995803     6.014554  -1.34405623 
    9.577000    -2.208849    17.940831    10.308503     0.387554  -1.34405623 
    9.578000    -2.208849    27.137431    13.748203    -7.114446  -2.28305623 
    9.579000     0.629851    19.780131    13.435503   -11.178446   0.84684377 
    9.580000     0.629851    16.101431     8.744903    -5.864446   3.97674377 
    9.581000     0.629851    21.619431     1.552703    -2.738446   4.28964377 
    9.582000     2.522391    28.976731    -2.199797    -3.050446   9.61044377 
    9.583000     0.629851    23.458731     4.367003     5.701554  12.11434377 
    9.584000     3.468651    30.816031    11.246603     8.515554   6.16764377 
    9.585000     3.468651    32.655431    11.559303     2.263554  -6.97785623 
    9.586000     3.468651    30.816031    18.438803    -6.489446 -12.29865623 
    9.587000     4.414901    17.940831    25.005703    -7.739446  -1.03105623 
    9.588000     5.361151    16.101431    18.751503    -2.113446   6.16764377 
    9.589000    -0.316349    21.619431     8.744903    -2.425446   5.85464377 
    9.590000    -4.101349    25.298131     5.930603    -5.239446  -1.34405623 
    9.591000     2.522391    32.655431    14.686403   -12.116446  -8.54275623 
    9.592000     4.414901    34.494731    18.438803   -11.178446  -5.72585623 
    9.593000     5.361151    40.012731    17.813403    -6.802446   3.03774377 
    9.594000     6.307411    38.173331    15.311803    -2.113446   2.09874377 
    9.595000     5.361151    32.655431    17.188003    -2.113446  -6.35185623 
    9.596000     9.146161    23.458731    17.500703    -0.862446 -13.23755623 
    9.597000    10.092421    23.458731    18.751503     4.451554 -20.12325623 
    9.598000    -1.262649    17.940831    20.940503     6.014554 -18.24535623 
    9.599000    -5.993849    19.780131    18.126103    -4.613446  -9.79475623 
    9.600000     1.576151     8.744151     9.995803   -13.991446  -1.97005623 
    9.601000     8.199911    -4.131129     5.930603   -13.991446  -6.66485623 
    9.602000     5.361151    -2.291799     2.490803   -11.490446  -9.48175623 
    9.603000     3.468651     8.744151     5.617903   -10.240446  -6.66485623 
    9.604000     2.522391    19.780131     9.683103    -3.363446  -4.78695623 
    9.605000     7.253661    23.458731     9.370303     7.889554   4.91564377 
    9.606000     3.468651    23.458731     4.054303    13.204554   7.73254377 
    9.607000    -5.047649    17.940831     8.744903     9.140554   0.84684377 
    9.608000    -7.886349    16.101431    16.875303    -6.176446  -7.29085623 
    9.609000    -8.832649    14.262131    17.813403   -16.179446 -13.55055623 
    9.610000     0.629851    19.780131    14.686403    -7.427446 -14.48955623 
    9.611000     8.199911    30.816031    10.621203     6.952554  -8.54275623 
    9.612000     7.253661    25.298131     7.806803     8.202554   0.53384377 
    9.613000     5.361151    12.422811    10.933903     3.513554   5.22864377 
    9.614000    -0.316349     1.386851     5.930603    -0.550446   4.91564377 
    9.615000    -7.886349    -4.131129     2.803503     2.263554  -1.97005623 
    9.616000    -0.316349    -2.291799     3.428903     1.950554  -9.16875623 
    9.617000     6.307411    -5.970469     3.428903     1.638554  -7.29085623 
    9.618000     8.199911   -18.845769     1.240003     2.263554  -6.66485623 
    9.619000     4.414901   -18.845769     2.490803     0.700554  -5.41285623 
    9.620000     4.414901   -18.845769     2.490803    -9.928446 -10.42065623 
    9.621000     7.253661   -15.167069     7.181403   -11.490446 -13.86355623 
    9.622000     8.199911   -17.006369    12.810103   -11.178446 -14.80255623 
    9.623000     3.468651   -20.685069     9.370303    -7.739446  -6.97785623 
    9.624000    -5.047649   -17.006369     6.243303    -1.800446  -8.22975623 
    9.625000    -7.886349   -18.845769     3.741603     4.138554 -18.87135623 
    9.626000    -7.886349   -20.685069     6.868703     6.014554 -23.25315623 
    9.627000     0.629851   -18.845769    10.308503    -3.363446 -14.48955623 
    9.628000     4.414901    -9.649069     5.617903   -14.304446  -9.16875623 
    9.629000     4.414901    -7.809769     0.301903   -15.554446  -8.85575623 
    9.630000     3.468651    -7.809769     0.927303    -3.988446  -6.97785623 
    9.631000     7.253661   -15.167069    10.933903    -0.862446  -5.09995623 
    9.632000     8.199911   -11.488469    16.562603    -2.113446  -9.48175623 
    9.633000     0.629851   -11.488469     8.432203    -0.862446 -12.29865623 
    9.634000     5.361151   -11.488469    -0.636297     7.577554 -10.42065623 
    9.635000    10.092421    -9.649069    -5.952297    11.328554 -15.74145623 
    9.636000     5.361151    -7.809769    -2.825197     7.264554 -16.68045623 
