     Time	  Accel	     IntAccel	     SG1	   SG2	      SG3	       
    9.499000    19.497217    -6.427256     1.353096    -1.066977  -3.76568763 
    9.500000    11.927197    -0.909256     3.229096    -1.066977  -4.07858763 
    9.501000    13.819707    11.966044     7.607096     0.183023  -6.58248763 
    9.502000    13.819707    26.680644     5.105096     0.809023  -6.89548763 
    9.503000    17.604717    24.841344    -3.024904    -2.004977  -4.70458763 
    9.504000    18.550967    15.644744    -6.151904    -3.879977  -4.07858763 
    9.505000    14.765958    17.484044   -10.529904    -1.691977  -3.45268763 
    9.506000    10.034697    26.680644    -5.213904    -5.755977  -1.57478763 
    9.507000    12.873457    19.323344     0.727096    -3.567977   2.80711237 
    9.508000    10.980947     8.287344     0.727096     2.372023   4.68501237 
    9.509000    16.658467    13.805344    -2.086904    -0.128977   5.62391237 
    9.510000    16.658467    17.484044     0.415096    -2.941977   7.18891237 
    9.511000    16.658467     8.287344    -4.275904     1.434023  -0.00978763 
    9.512000    16.658467     6.448044   -14.281904     3.622023  -5.64358763 
    9.513000    13.819707    -2.748556   -15.845904     2.059023  -7.20848763 
    9.514000    13.819707     2.769444    -6.464904    -5.755977   1.24211237 
    9.515000    17.604717    13.805344     3.542096   -13.570977  -0.00978763 
    9.516000    19.497217    21.162644     1.040096    -9.506977  -5.01758763 
    9.517000    23.282227    15.644744    -2.399904    -2.941977 -13.46828763 
    9.518000    14.765958     6.448044    -4.900904    -1.691977 -20.04098763 
    9.519000    11.927197    -0.909256    -0.522904   -13.257977 -14.72018763 
    9.520000    15.712211    -2.748556     5.418096   -17.008977  -9.08638763 
    9.521000    12.873457    -4.587856     5.418096   -10.444977  -3.76568763 
    9.522000    12.873457    -4.587856     8.545096    -1.066977  -4.07858763 
    9.523000    10.980947    -2.748556     5.731096     2.684023   0.30321237 
    9.524000    10.034697    -2.748556     2.604096     6.123023   2.18111237 
    9.525000    17.604717     2.769444     1.978096     2.997023  -0.00978763 
    9.526000    23.282227     0.930044     7.294096    -0.441977  -1.26178763 
    9.527000    23.282227     4.608744    10.734096    -1.691977  -0.00978763 
    9.528000    15.712211     8.287344     6.669096    -0.128977 -10.02538763 
    9.529000     9.088447    13.805344     1.353096     5.498023 -13.78118763 
    9.530000     8.142187     6.448044    -9.904904     6.435023 -10.65138763 
    9.531000    12.873457     4.608744   -15.845904    -2.316977  -6.58248763 
    9.532000     9.088447     6.448044    -6.151904    -6.380977  -2.51368763 
    9.533000     5.303427     8.287344    -0.835904    -4.817977  -5.95658763 
    9.534000    10.980947    19.323344    -2.086904     0.183023 -18.78898763 
    9.535000    15.712211    23.002044     1.040096     5.185023 -25.04878763 
    9.536000    14.765958    13.805344    -2.711904     5.810023 -15.65918763 
    9.537000    13.819707     4.608744    -7.402904     1.434023  -3.13968763 
    9.538000     8.142187     0.930044     2.291096     1.121023   4.99801237 
    9.539000     7.195937     4.608744     6.356096    -2.941977   1.24211237 
    9.540000    10.034697     8.287344     7.294096    -3.879977  -6.58248763 
    9.541000    10.034697     2.769444    -2.086904    -1.379977  -3.45268763 
    9.542000    10.980947     0.930044    -7.402904     0.496023   0.30321237 
    9.543000    18.550967    -4.587856    -2.711904    -5.755977   1.55511237 
    9.544000    21.389727   -10.105856     6.669096   -13.882977   3.43301237 
    9.545000    12.873457   -10.105856     7.920096   -10.444977   2.80711237 
    9.546000     4.357187    -4.587856     1.040096     8.624023  -3.13968763 
    9.547000     3.410887    -8.266556    -4.900904    13.313023  -3.76568763 
    9.548000     3.410887    -4.587856    -2.399904    12.062023  -8.77348763 
    9.549000     8.142187    -8.266556     3.542096     8.936023 -10.65138763 
    9.550000    16.658467    -4.587856     5.105096    -3.879977 -10.02538763 
    9.551000    13.819707     0.930044     3.855096   -13.257977  -9.08638763 
    9.552000    10.980947     4.608744     4.167096   -17.321977  -5.95658763 
    9.553000    10.980947     8.287344    -2.399904   -19.509977  -4.70458763 
    9.554000    16.658467    10.126744    -5.838904   -14.508977  -9.08638763 
    9.555000    17.604717     2.769444    -5.526904    -9.819977  -7.83448763 
    9.556000    18.550967    -4.587856    -1.148904    -8.256977  -2.20068763 
    9.557000    18.550967    -0.909256    -3.962904    -7.005977   2.49411237 
    9.558000    15.712211     0.930044   -13.969904   -11.069977   3.12001237 
    9.559000    12.873457     2.769444   -12.718904   -15.133977  -2.51368763 
    9.560000    12.873457    -2.748556    -6.464904    -8.568977   0.92911237 
    9.561000    22.335977    -0.909256    -0.210904    -0.441977   3.12001237 
    9.562000    24.228487     4.608744     1.666096    -0.128977  -1.88768763 
    9.563000    20.443477    15.644744    -2.711904    -9.193977  -6.26958763 
    9.564000    23.282227    19.323344    -8.340904    -9.819977  -0.94878763 
    9.565000    28.959787    11.966044    -8.965904    -5.130977   4.99801237 
    9.566000    25.174787     8.287344    -4.588904    -2.941977   2.80711237 
    9.567000    17.604717     2.769444     1.353096    -4.192977   4.37201237 
    9.568000    14.765958     2.769444     1.978096    -1.691977   2.80711237 
    9.569000    14.765958     6.448044     0.102096    -0.441977   1.24211237 
    9.570000    14.765958    11.966044    -0.835904    -9.506977   2.18111237 
    9.571000    14.765958    17.484044    -4.275904   -17.008977  -4.07858763 
    9.572000    17.604717    19.323344    -8.653904    -5.755977  -3.76568763 
    9.573000    19.497217    10.126744    -2.086904     3.935023   4.05901237 
    9.574000    16.658467     4.608744     4.167096     4.247023  10.00581237 
    9.575000    14.765958     6.448044     7.607096    -3.254977   7.50191237 
    9.576000    14.765958    19.323344     6.669096    -2.941977  -0.32278763 
