     Time	  Accel	     IntAccel	     SG1	   SG2	      SG3	       
    9.576000    97.154900   -39.406266    -4.930579    -5.935879   8.30179280 
    9.577000    92.423700   -39.406266    -3.992379    -4.997879  10.49269280 
    9.578000    90.531100   -35.727266    -0.239979     4.692321   6.42389280 
    9.579000    89.584900   -22.852266    -4.930579    13.757621  -0.46190720 
    9.580000    95.262400   -17.334266    -8.995679    10.319121  -5.15670720 
    9.581000    96.208700   -19.173266   -12.435479     5.004921 -10.79040720 
    9.582000    91.477400   -19.173266   -10.246579     1.566421  -5.78260720 
    9.583000    82.014900   -22.852266     0.385421    -2.496879   0.16409280 
    9.584000    81.068600   -19.173266     3.199821    -1.871879  -0.14890720 
    9.585000    79.176100   -15.495266     1.323621     2.816821  -5.46960720 
    9.586000    81.068600   -21.013266    -2.741579    -3.122879  -7.66060720 
    9.587000    68.767300   -28.370266    -3.679679    -2.809879  -8.59950720 
    9.588000    66.874800   -35.727266    -4.617879     1.566421 -10.79040720 
    9.589000    70.659800   -35.727266     1.323621     3.442021   0.79009280 
    9.590000    78.229900   -26.531266     8.203121    -0.309179  10.80569280 
    9.591000    81.068600   -24.691266     5.388721    -3.122879   6.11089280 
    9.592000    83.907400   -17.334266     2.574421    -0.621879  -4.53070720 
    9.593000    82.961100   -17.334266     2.887121    11.882121   0.47709280 
    9.594000    83.907400   -22.852266     8.828521    17.508821  10.80569280 
    9.595000    88.638600   -33.888266     9.766621     9.068721   6.11089280 
    9.596000    84.853600   -35.727266     0.698121    -2.809879  -3.90470720 
    9.597000    80.122400   -26.531266    -3.054279    -8.436879   1.41609280 
    9.598000    80.122400   -19.173266     5.701421    -8.748879   6.11089280 
    9.599000    82.014900   -22.852266     8.515821   -13.125879  -4.84370720 
    9.600000    80.122400   -32.049266     0.698121   -15.626879 -16.42420720 
    9.601000    80.122400   -24.691266    -2.428879    -8.748879 -11.72940720 
    9.602000    85.799900   -17.334266    -5.243279    -3.434879  -1.40080720 
    9.603000    89.584900   -22.852266    -9.933879    -1.559879   3.91999280 
    9.604000    89.584900   -30.209266    -7.432179    -1.559879   2.66799280 
    9.605000    92.423700   -39.406266     1.636321     5.317521  -5.46960720 
    9.606000    93.369900   -35.727266    10.704721     5.317521 -13.92030720 
    9.607000    88.638600   -30.209266     4.763321    -4.372879 -15.48520720 
    9.608000    83.907400   -30.209266    -7.744879    -6.248879 -10.16440720 
    9.609000    87.692400   -24.691266   -13.060879    -7.498879  -8.91250720 
    9.610000    98.101200   -24.691266    -7.432179    -7.185879   1.72909280 
    9.611000    99.047400   -21.013266     3.199821    -4.372879   9.86669280 
    9.612000   101.886200   -15.495266    -0.865379    -3.747879   7.04979280 
